64 Rk - wRCE,Year,Name,School,Position,Classification,G,AVG,OBP,SLG,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,SO,CS,PO,SB,IBB,PA
"2800","2026","Tyler Herb","FGCU","SS","So","20","0.321","0.449","0.396","11","53","17","2","1","21","0","11","10","4","2","1","16","0","0","1","0","70"
"2801","2026","Noah Fields","UT Arlington","1B","Jr","24","0.195","0.333","0.341","13","82","16","3","0","28","3","10","13","4","0","4","12","0","0","2","0","103"
"2802","2026","Thomas Conrad","VMI","DH","Fr","15","0.255","0.364","0.362","8","47","12","5","0","17","0","13","5","3","0","0","18","0","0","2","0","55"
"2803","2026","Nolan Nawrocki","Tulane","DH","Sr","21","0.200","0.303","0.345","10","55","11","5","0","19","1","11","6","3","2","0","19","1","0","5","0","66"
"2804","2026","Will Tippett","Col. of Charleston","SS","Sr","25","0.175","0.269","0.300","8","80","14","7","0","24","1","8","7","4","2","1","28","1","0","3","0","94"
"2805","2026","Tanner Aoki","Mississippi Val.","2B","Sr","27","0.291","0.456","0.314","16","86","25","2","0","27","0","8","22","5","1","2","11","5","1","2","0","116"
"2806","2026","Jack Lux","Oakland","DH","Sr","21","0.192","0.373","0.327","12","52","10","2","1","17","1","9","15","0","0","1","15","1","0","1","0","68"
"2807","2026","Jett Humphreys","William & Mary","P","Fr","17","0.345","0.355","0.483","4","29","10","4","0","14","0","7","1","0","1","1","10","0","0","2","0","32"
"2808","2026","Alejandro Ludeiro","Lipscomb","C","So","15","0.345","0.432","0.517","5","29","10","2","0","15","1","7","1","5","2","0","5","0","0","0","0","37"
"2809","2026","Chase Ecker","William & Mary","CF","Fr","28","0.237","0.339","0.268","16","97","23","1","1","26","0","11","14","2","2","2","29","0","2","19","0","117"
"2810","2026","Keaten Hawk","Alcorn","RF","Jr","32","0.276","0.383","0.371","18","105","29","6","2","39","0","20","14","6","3","0","23","2","1","11","0","128"
"2811","2026","Tyvon Moore","Prairie View","CF","Sr","23","0.321","0.423","0.519","20","81","26","7","3","42","1","11","8","7","1","2","21","2","1","3","0","99"
"2812","2026","Teddy Ruffner","Youngstown St.","C","Sr","24","0.154","0.273","0.338","10","65","10","4","1","22","2","5","9","2","1","0","21","1","0","1","0","77"
"2813","2026","Dayton Tockey","Oklahoma","1B","Sr","17","0.176","0.333","0.382","6","34","6","1","0","13","2","11","9","0","2","0","17","0","0","2","0","45"
"2814","2026","Jake Sparks","Siena","3B","Jr","23","0.185","0.341","0.323","10","65","12","3","0","21","2","13","14","2","1","0","32","0","0","0","0","82"
"2815","2026","Chandler Murray","Kansas St.","1B","So","15","0.158","0.273","0.316","1","19","3","0","0","6","1","4","3","0","0","0","7","0","0","0","0","22"
